,종목명,현재가,거래량,자본금(백만원),자본총계(백만원),영업이익증가율,영업이익(원),매출액영업이익률,EBITDA(백만원),시가총액,배당수익률,부채비율,이자보상비율,결산년월,PBR,PSR,PCR,PER,ROE,PBR_rank,PSR_rank,PCR_rank,PER_rank,DIV_rank,rank_tot
548,일진디스플,3220.0,120473.0,17234.0,330027,0.0,-30480000000.0,-45.59000015258789,4294943312.0,1110.0,0.0,301.3900146484375,0.0,202012,2.9732225300092336,1.1704834605597965,-4.820359281437126,0.0,-94.1500015258789,447.0,356.0,46.0,68.0,444.0,917.0
605,체시스,1355.0,77810.0,16000.0,49878,0.0,-1652000000.0,-3.8499999046325684,4407.0,434.0,0.0,143.8800048828125,0.0,202106,1.1492790500424088,0.89086127547666,8.262195121951219,0.0,-8.25,243.0,293.0,314.0,68.0,444.0,918.0
152,국제약품,5660.0,165148.0,19276.0,166983,8.4399995803833,6041000000.0,4.630000114440918,9667.0,1091.0,0.0,106.55999755859375,9.279999732971191,202012,1.5305570578691183,0.9188311688311688,5.734549138804458,0.0,3.3499999046325684,325.0,296.0,229.0,68.0,444.0,918.0
344,벽산,4250.0,490449.0,34280.0,363394,0.0,9603000000.0,2.1600000858306885,23340.0,2914.0,0.1599999964237213,59.189998626708984,4.420000076293945,202012,1.2470657276995305,0.6356565958719713,11.455525606469003,0.0,-0.6700000166893005,262.0,236.0,357.0,68.0,348.0,923.0
355,이수페타시스,4765.0,1690479.0,41268.0,600512,0.0,1963000000.0,0.3799999952316284,24756.0,1966.0,1.25,498.04998779296875,0.20000000298023224,202012,3.0544871794871793,0.37212026552128075,6.655027932960894,0.0,-19.139999389648438,452.0,137.0,267.0,68.0,197.5,924.0
746,기신정기,4630.0,172875.0,14600.0,74503,22.65999984741211,11356000000.0,8.84000015258789,17928.0,1352.0,3.2300000190734863,6.340000152587891,245.64999389648438,202103,0.5510592716019995,1.0175824175824175,5.831234256926952,11.930000305175781,4.050000190734863,58.0,331.0,237.0,300.0,53.0,926.0
75,금호전기,3350.0,64727.0,9593.0,168680,0.0,-7694000000.0,-17.049999237060547,4294962180.0,643.0,0.0,1498.43994140625,0.0,202012,2.6233359436178545,1.3121817469643557,-2.1696891191709846,0.0,-100.9800033569336,429.0,376.0,53.0,68.0,444.0,926.0
300,에스엘,31800.0,95623.0,24101.0,1570280,113.66999816894531,93164000000.0,3.7200000286102295,214966.0,15329.0,1.5700000524520874,64.12000274658203,11.529999732971191,202012,1.0243855297490578,0.5228113440197287,5.759826118456801,10.0600004196167,4.739999771118164,216.0,206.0,234.0,271.0,165.5,927.0
507,태경산업,6700.0,206731.0,14614.0,162419,47.68000030517578,15910000000.0,3.690000057220459,36772.0,1958.0,3.5799999237060547,56.619998931884766,5.75,202012,0.8295159093722917,0.4369945212627185,5.214007782101167,22.18000030517578,1.590000033378601,163.0,163.0,208.0,396.0,43.5,930.0
320,대원전선,1815.0,492003.0,35508.0,204504,325.4700012207031,4270000000.0,1.149999976158142,7412.0,1289.0,0.0,124.88999938964844,5.230000019073486,202012,1.5865384615384615,0.3194860059848618,18.15,0.0,2.7899999618530273,338.0,106.0,421.0,68.0,444.0,933.0
911,한국콜마,42550.0,55965.0,11440.0,1485945,21.8799991607666,121679000000.0,9.1899995803833,183417.0,9736.0,0.8100000023841858,149.14999389648438,3.259999990463257,202012,1.5262383873166183,0.6602221946375373,4.273375514713267,5.909999847412109,29.270000457763672,324.0,244.0,174.0,192.0,266.0,934.0
814,우리들휴브레인,1490.0,195029.0,40661.0,126373,0.0,-1627000000.0,-24.56999969482422,4294965820.0,1212.0,0.0,69.94999694824219,0.0,202012,1.0426871938418474,7.3399014778325125,-35.476190476190474,6.449999809265137,17.850000381469727,221.0,487.0,23.0,204.0,444.0,935.0
559,인팩,14650.0,109589.0,5000.0,212287,0.0,12965000000.0,3.369999885559082,30615.0,1465.0,1.0199999809265137,179.4499969482422,6.070000171661377,202012,1.4490603363006924,0.34390478649733563,4.3796711509716,13.579999923706055,3.549999952316284,310.0,122.0,180.0,328.0,232.5,940.0
827,한국자산신탁,4390.0,706948.0,61988.0,371729,56.630001068115234,178671000000.0,74.43000030517578,181927.0,5443.0,5.010000228881836,57.06999969482422,0.0,202012,0.6829495955196018,2.4028461959496443,6.280400572246066,4.409999847412109,18.18000030517578,100.0,437.0,252.0,159.0,15.0,948.0
1209,에어부산,2590.0,606171.0,193920.0,1855858,0.0,-188684000000.0,-99.3499984741211,4294914110.0,5023.0,0.0,838.1699829101562,0.0,202012,3.69472182596291,1.2057728119180633,-3.245614035087719,0.0,-117.66000366210938,480.0,361.0,50.0,68.0,444.0,959.0
